A,B
1.8449897753251605,5.259109928130179
2.517485784735373,5.286302398115955
4.875120509000834,3.998213598603153
2.483583182156779,5.385866560943795
2.871140420215267,5.416316693108505
1.2689576959919062,4.075698453315501
5.844408762193054,2.940908856980638
1.59238678584315,4.912404061593665
6.8953654830788045,4.41035523211918
3.0718309127067105,5.512812261792811
4.729477121548327,6.16457223989136
1.7020093919213308,4.607519153270385
2.6695132077066512,6.05664845557267
6.214351215994369,5.44573440778198
1.087590303281635,7.190006204145076
1.9509785347356714,4.971103427042688
4.711225545444625,6.478651021763776
1.3712727773071631,6.692768726193322
5.238834903999329,4.865307571985827
6.999507764318111,3.4901265590379715
1.3889304151874415,4.241527914994321
5.623153483722983,4.20863618214395
1.9339172296201714,5.454915855341893
5.350835957220464,6.230650724712424
2.8426707482360105,6.854083859454173
1.2472205777565444,4.639950187233001
2.35376400435449,4.8414094165583155
3.1944729630177804,3.419769021186712
6.323617667403548,4.359040466846806
2.0806642642944033,3.801918743945402
3.0383715354996226,4.3433407064726355
3.198045563985727,5.200411540663839
6.671645254424401,4.564855101693826
2.1752849949166797,5.369799735180247
3.6637637209545706,4.717151933591457
7.075595965312748,5.5869040348977155
3.9099223526167775,4.635505821529207
3.375026512846487,4.071079084637107
1.6016689923830247,5.1968222361247145
1.645901253901693,5.205548242467788
1.511044555679318,2.6886984765256754
2.185553276792985,4.8846102486306595
2.164747522469251,5.75356958023859
3.340468560908545,7.404341462472048
1.843334860399856,5.38984902656796
6.639769960109785,3.4262747544253545
6.794610098968243,5.641226136011174
2.025930146815672,6.8579493779410425
4.52994139894184,6.30220691046977
3.16948555421392,5.666888176610576
1.9263032250670409,5.325636185757332
3.8597697321788718,5.5746425259639985
3.7227376032786377,6.3835820982051406
1.1569462159958719,4.063692827320532
3.934751511470489,6.48008739703235
4.762756798104268,3.673319477183501
1.4660393650994188,5.643802111072708
2.4425043330683853,6.548949043208363
6.95020392600794,6.879691063637408
2.384310689833926,4.358756864655194
1.1081950539193477,3.7518521945155694
6.560209608939067,3.9250002095429632
1.432735982675232,5.36712252432951
1.3611313469640258,4.365151521354533
3.783339880431987,4.687027969385117
1.0613361167898805,4.945921074858534
3.872240988364037,6.017499378932556
2.1781569014585758,4.995810954949217
2.9043183016381056,6.358674538280996
4.45348240144444,5.362085834531576
3.617884634181846,5.606270198577466
5.91409233424417,5.055817098431492
1.5547506976372731,4.270095544695689
6.185365443420274,6.415836027943897
